"bitermId", "word1", "word2", "tf","sim"
492,"打车","爱",37,0.148261,
493,"马来西亚","警方",45,0.159495,
494,"飞机","失踪",67,0.178925,
495,"兰州市","凌晨",34,0.147831,
496,"支持","使用",34,0.300801,
497,"电脑","永久",58,0.088741,
498,"出轨","祈祷",34,0.0177802,
499,"米兰","竞技",64,0.17033,
500,"安全","xp",46,0.175804,
501,"顶","祈祷",33,0.0678016,
502,"整个","祈祷",34,0.0810044,
503,"决赛","首回合",97,0.54111,
504,"马航","奥巴马",31,0.304723,
505,"用户","技术",32,0.336617,
506,"自来水","出厂",72,0.196034,
507,"路","坐",45,0.058717,
508,"欧冠","胜利",34,0.288803,
509,"比赛","本赛季",43,0.553498,
510,"成为","球员",43,0.0887255,
511,"马来西亚","时间",77,0.0966953,
512,"发现","线索",39,0.26887,
513,"东莞","下联",73,0.0763128,
514,"找到","跟踪",52,0.384448,
515,"司机","下车",83,0.370069,
516,"安全","过程",34,0.189776,
517,"曼联","球",84,0.511817,
518,"中国","国人",41,0.231897,
519,"凌晨","出厂",32,0.209197,
520,"打车","问题",93,0.0371372,
521,"歌手","萌",52,0.0143151,
522,"补贴","城市",42,0.221778,
523,"兰州","水务",248,0.186567,
524,"打车","手机",272,0.296925,
525,"马航","台湾",31,0.0947848,
526,"超标","水污染",38,0.568324,
527,"信号","确认",92,0.188684,
528,"黄河","位于",36,0.0260076,
529,"打车","方便",37,0.234009,
530,"事件","重要",32,0.115904,
531,"马","赴",116,0.0620475,
532,"打车","出门",68,0.316333,
533,"音乐","收听",36,0.250365,
534,"好样","祈祷",32,0.0858807,
535,"飞机","搜救",177,0.395278,
536,"马","赞",32,0.199394,
537,"欧洲","竞技",35,0.253837,
538,"打车","呦",74,0.197957,
539,"兰州","中心",84,0.0805098,
540,"升","超出",81,0.0683813,
541,"客机","小时",37,0.271221,
542,"飞机","搞",32,0.101683,
543,"时间","结束",31,0.270578,
544,"打车","亿元",111,0.105216,
545,"打车","站",54,0.224129,
546,"用户","正式",147,0.200565,
547,"停止","使用",53,0.25323,
548,"正式","厂商",37,0.194885,
549,"自来水","污染",260,0.478505,
550,"欧冠","关键",34,0.169256,
551,"曼联","慕尼黑",38,0.353687,
552,"中国","总",39,0.182328,
553,"澳大利亚","联合",58,0.256748,
554,"完","电话",32,0.189433,
555,"赛季","希望",32,0.144183,
556,"机长","副",33,0.210153,
557,"挑战赛","挑战",34,0.430556,
558,"歌手","茜",76,0.20505,
559,"次","米兰",51,0.206802,
560,"确认","脉冲",36,0.15222,
561,"加入","搅拌",34,0.181336,
562,"感谢","谈",34,0.265271,
563,"表示","原因",46,0.227126,
564,"中国","暴露",32,0.0992079,
565,"马航","故障",48,0.330334,
566,"超标","石化",81,0.282056,
567,"安全","吉隆坡",40,0.0973896,
568,"球队","球迷",50,0.557635,
569,"管理","限制",36,0.303549,
570,"软件","车",139,0.0298509,
571,"马航","事故",126,0.438122,
572,"球","梅西",103,0.24482,
573,"回合","展开",60,0.103387,
574,"表示","美国",48,0.271668,
575,"服务","宣布",85,0.278729,
576,"检测","自流",47,0.0933701,
577,"兰州","抢",34,0.0811669,
578,"打车","显示",111,0.0926071,
579,"推出","产品",46,0.419868,
580,"信号","澳方",32,0.0869168,
581,"事件","安全",71,0.194264,
582,"加油","大清早",31,0.0181908,
583,"名","迫降",36,0.0986217,
584,"打车","比较",33,0.195086,
585,"下","季后赛",34,0.10691,
586,"第二季","心",60,0.103564,
587,"时间","比赛",120,0.254125,
588,"比赛","赛季",121,0.523963,
589,"美国","信息",32,0.295473,
590,"家属","所有",32,0.290136,
591,"分钟","扳平",32,0.452807,
592,"水","威立雅",43,0.0680814,
593,"兰州","原因",122,0.0168566,
594,"打车","北京",105,0.104031,
595,"中国","年前",31,0.233398,
596,"飞机","无",47,0.109081,
597,"发现","搜救",96,0.23813,
598,"计价器","挣钱",64,0.153835,
599,"舌尖","味道",196,0.322295,
600,"停止","退休",35,0.277272,
601,"自来水","显示",32,0.0847918,
602,"足球","游戏",164,0.121329,
603,"继续","升级",51,0.301242,
604,"打车","电",99,0.197164,
605,"东莞","挺住",104,0.0647887,
606,"飞机","印度洋",140,0.237306,
607,"切尔西","队",92,0.23127,
608,"歌手","音乐",133,0.504682,
609,"补贴","做出",34,0.141752,
610,"巴黎","圣日耳曼",61,0.566319,
611,"拜仁","错过",38,0.246095,
612,"万","活动",53,0.094812,
613,"马","轮",49,0.12603,
614,"队","宇宙",40,0.173559,
615,"时间","冠军联赛",44,0.0714692,
